"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar registro de datos y adicion de productos en demoblaze","Realizar registro de usuario","SUCCESS","2021-11-23T00:19:02.76074-05:00[America/Bogota]","0.0","14.01"
"Realizar registro de datos y adicion de productos en demoblaze","Realizar inicio de sesion","SUCCESS","2021-11-23T00:19:16.775038-05:00[America/Bogota]","0.0","10.91"
"Realizar registro de datos y adicion de productos en demoblaze","Realizar registro de formulario de contacto","ERROR","2021-11-23T00:19:27.6896184-05:00[America/Bogota]","0.0","12.53"
"Realizar registro de datos y adicion de productos en demoblaze","Realizar adicion de producto","ERROR","2021-11-23T00:19:40.3024268-05:00[America/Bogota]","0.0","27.15"
